Tool Version,v0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tool Update Date,"March 12, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated By,Marcus Papadopoulos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On Track,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strong Progress,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circular Design Leader,9.00,,,,,,,Number of Applicable Questions,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6,Disassembly Protection,How well is the product protected from cosmetic damage during disassembly?,Disassembly,"Opening requires high heat or heavy prying that guarantees cosmetic damage (warping, scratches) or risks cracking glass/screens just to get inside.","Once the shell is opened, there are exposed ribbon cables or delicate sensors immediately under the seam. A prying tool slipping by 2mm could sever a critical connection.","Design includes ""pick-start"" notches or specific gaps for tools. Internal components are slightly recessed, but there are still no physical barriers to stop a tool from over-penetrating.",Integrated mechanical stoppers and recessed connectors safeguard sensitive components from tool slips or perimeter impacts.,"No tools are required, making accidental internal or cosmetic damage virtually impossible.",,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,TRUE,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,
7,Wayfinding,Is there user guidance for disassembly?,Disassembly,Internal layout is intentionally opaque to discourage non-expert access,Opening points are hidden under glued rubber feet or regulatory stickers,"Opening points, like fasteners, are exposed but there is no guidance",Internal labels identify parts and screws to guide the technician,Internal QR codes or permanent icons guide the disassembly sequence,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,TRUE,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,TRUE,TRUE
8,Reassembly,How easily can the product be reassembled? ,Disassembly,Reassembly is not possible,"Reassembly is ""guess-work"" (identical cables can be plugged into wrong ports, parts to be installed upside-down or backwards)",Visual cues guide correct re-installation (color-coded connectors or markings),"Error proofing, parts cannot be installed incorrectly (Poke-Yoke, captive screws, magnetic alignment)",Both visual guidance and error proofing ,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,TRUE,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,TRUE,TRUE
9,Renewable Material Inputs,"Consider the materials listed in the CMF design spec. Renewable materials include post-consumer and post-industrial recycling. Biobased materials can also be considered if they are widely recycled (PP, PE, PS, HIPS, ABS grades) or seperated for biodegrading. ",Material Inputs,No renewable material inputs,Renewable material inputs limited. Some colors and materials are still virgin to match the CMF direction,[PCR Pool](https://docs.google.com/spreadsheets/d/1r5Vgp-g2j7bV0EpCeCGmfo3IU94j7SR6oOviF1J88sM/edit?usp=sharing) is leveraged to maximize the renewable material content of all CMF design parts. ,Project qualifies a new material with higher renewable content or unlocks a new color or capability at an existing best in class material (qualifying a new color of 100% PCR ABS),All CMF design materials are 100% renewable,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,,
10,Material Durability,"Think about which materials will wear first. Often this is where a user touches, holds or interacts with the product. This relates both to the material and texture selection. Consider the worst performing colorway, often white. ",Longevity,"Materials are likely to age, stain or show wear within 90 days","Materials will not age, stain or show wear in the first 2 years of heavy use","Materials will not age, stain or show wear in the first 3 years of heavy use","Materials will not age, stain or show wear in the first 5 years of heavy use",Materials will never age or will do so in a way that increases the value,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,,,,,TRUE,,
11,Cleaning,Keeping your device clean and fresh is a great way to extend the life and encourage users to keep their devices for longer.,Longevity,"Deep seams and open grilles trap debris, or soft-touch materials degrade when cleaned with isopropyl alcohol.","Flat surfaces are wipeable, but recessed buttons and ports require specialized tools and carry a high risk of liquid damage.","Tight tolerances and flush surfaces eliminate crevices, while chemical-resistant materials support standard household cleaners.",Seals enable full immersion or rinsing for effortless sanitization.,"Modular, tool-less ""high-touch"" parts allow for separate washing or replacement.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,TRUE,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,
12,Emotional Durability,"Emotional durability is the unspoken emotional experiences between products and consumers. A product with a strong the emotional bond is more likely to be kept for longer, and to see a second life through resale or repair",Longevity,"No customization, modifications or other emotional bonds.","Industry standard software based customizations (key mapping, sensor calibration or RGB lighting)","Novel software customization (these settings can be shared with others creating an online community)

AND/OR

Hardware cosmetic customization (look and feel)","Hardware functional customization (meet bespoke user needs, maybe include modularity)

AND/OR

Onboarding involves assembly to create a bond and better understand the construction and value. ","The hardware and/or software is open-source to allow user built customizations, mods and repairs. ",,,,,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,
13,Dismantling,Materials have to be separated for recycling. This question asks how easily those materials can be separated by typical recycling machines such as shredders and hammers.,Recycling,More than half of the material weight is glued together or otherwise permanently bonded,Only technically required areas have permanent bonding,"Materials not widely recycled, such as fabrics or elastomers, are designed for quick and easy separation before destructive dismantling",No permanent bonding of dissimilar materials but screws are still used for construction resulting in some material loss when shredding,"No permanent bonding of dissimilar materials. The assembly is either mono-material or dissimilar materials are designed to separate when shredded (snaps, clips, etc.).",TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE
14,Material Value,"Widely recycled materials are: all metals except magnesium and PP, PE, PS, HIPS, ABS plastic. All other plastic grades, blends and materials are not widely recycled.",Recycling,None of the CMF design materials are widely recycled,Less than half of the CMF design materials are widely recycled,More than half of the CMF design materials are widely recycled,Only critical to function CMF design materials are not widely recycled (such as a PC screen cover or plenum rated enclosure),A CMF Design Materials are widely recycled,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
15,Plastic Material Finishes,Labels and coatings can prevent separation or inhibit plastic sorting. IML in the same material as the base part is acceptable. Labels attached with a water soluble adhesive are recyclable. Darker colors inhibit optical sorting. Lighter colors have more value because the color palette can be changed.,Recycling,"Plastic parts are painted and/or covered in labels, IML, PVD or paint",Plastic parts are painted only if there is a functional requirement such as backlit keyboard keys,All plastic parts are free of paint or coatings,All plastic parts are also free of non-recyclable labels,"All plastics are in natural, ready to recycle colors. No dark color SKUs in the product plan.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,
16,User Guidance,Encouraging the user to properly dispose of their device at the end of life is critical to the circular journey of our products. ,Recycling,No user guidance beyond legal requirement,Recycling and/or take back website linked on packaging,Recycling and/or take back website linked on product,Recycling and/or take back incentives on product,"Full product passport showing the origin, value and next life plans for the product's materials",TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,TRUE,,TRUE,TRUE,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,
